,Date,Time,League,Home_Team,Away_Team,Odd_Home_Mean,Odd_Away_Mean,Pred_Score_Home,Pred_Score_Away,Predicted_Result,Predicted_Points_Sum,Line,Predicted_Line,Difference,Actual_Score_Home,Actual_Score_Away
9.0,16/10/2021,10:00:00,Super-Lig,Besiktas,Gaziantep,1.42,2.79,77.0,73.0,Assos,150.0,152.0,Under,2.0,68.0,70.0
10.0,16/10/2021,12:30:00,Super-Lig,Pinar Karsiyaka,Bursaspor,1.2,4.33,80.0,71.0,Assos,151.0,154.5,Under,3.5,76.0,62.0
11.0,16/10/2021,13:00:00,VTB,Saratov,Tsmoki Minsk,1.17,4.9,90.0,79.0,Assos,169.0,168.5,Over,0.5,95.0,79.0
12.0,16/10/2021,14:00:00,VTB,Nizhny Novgorod,BC Kalev/Cramo,1.52,2.47,81.0,77.0,Assos,158.0,158.5,Under,0.5,65.0,71.0
13.0,16/10/2021,15:00:00,Super-Lig,Galatasaray,Bahcesehir Kol.,1.59,2.28,85.0,84.0,Assos,169.0,169.5,Under,0.5,78.0,85.0
14.0,16/10/2021,16:00:00,BBL,Basketball Braunschweig,Chemnitz,1.6,2.32,86.0,84.0,Assos,170.0,168.5,Over,1.5,84.0,93.0
15.0,16/10/2021,16:00:00,BBL,Gottingen,Ludwigsburg,2.76,1.43,72.0,79.0,Diplo,151.0,155.5,Under,4.5,78.0,69.0
16.0,16/10/2021,16:00:00,ACB,Joventut Badalona,MoraBanc Andorra,1.43,2.92,84.0,79.0,Assos,163.0,162.5,Over,0.5,73.0,79.0
17.0,16/10/2021,16:00:00,ACB,Obradoiro CAB,Murcia,2.07,1.79,83.0,86.0,Diplo,169.0,167.5,Over,1.5,70.0,104.0
18.0,16/10/2021,16:00:00,Lega-A,Reggiana,Trento,1.82,1.97,80.0,81.0,Diplo,161.0,162.5,Under,1.5,74.0,78.0
19.0,16/10/2021,17:15:00,Super-Lig,Turk Telekom,Darussafaka,1.55,2.34,77.0,74.0,Assos,151.0,154.0,Under,3.0,59.0,46.0
20.0,16/10/2021,18:00:00,LNB,JL Bourg,Nanterre,1.22,4.36,86.0,77.0,Assos,163.0,163.0,Under,0.0,80.0,87.0
21.0,16/10/2021,18:00:00,Lega-A,Virtus Bologna,Trieste,1.23,4.08,80.0,73.0,Assos,153.0,155.5,Under,2.5,94.0,79.0
22.0,16/10/2021,18:00:00,BBL,Crailsheim Merlins,Ulm,2.09,1.72,82.0,84.0,Diplo,166.0,166.5,Under,0.5,71.0,93.0
23.0,16/10/2021,18:30:00,LNB,Le Mans,Pau-Orthez,1.51,2.61,82.0,78.0,Assos,160.0,160.5,Under,0.5,100.0,106.0
24.0,16/10/2021,18:30:00,BBL,Syntainics MBC,s.Oliver Wurzburg,1.52,2.48,87.0,85.0,Assos,172.0,172.5,Under,0.5,95.0,73.0
25.0,16/10/2021,18:30:00,ACB,Manresa,Unicaja,2.61,1.52,77.0,83.0,Diplo,160.0,162.5,Under,2.5,85.0,74.0
26.0,16/10/2021,18:45:00,ACB,San Pablo Burgos,Valencia,2.24,1.67,73.0,77.0,Diplo,150.0,154.5,Under,4.5,65.0,69.0
27.0,16/10/2021,18:45:00,ACB,Bilbao,Fuenlabrada,1.69,2.22,87.0,86.0,Assos,173.0,172.5,Over,0.5,85.0,80.0
28.0,17/10/2021,10:00:00,ACB,Gran Canaria,Real Betis,1.32,3.57,84.0,76.0,Assos,160.0,162.0,Under,2.0,94.0,70.0
29.0,17/10/2021,10:30:00,Super-Lig,Tofas,Petkim Spor,1.08,7.44,89.0,73.0,Assos,162.0,162.5,Under,0.5,97.0,83.0
30.0,17/10/2021,11:00:00,BBL,Bayern,Giessen,1.08,7.54,92.0,77.0,Assos,169.0,168.5,Over,0.5,71.0,64.0
31.0,17/10/2021,12:30:00,Super-Lig,Afyon Belediye,Buyukcekmece,2.01,1.78,79.0,81.0,Diplo,160.0,160.5,Under,0.5,76.0,66.0
32.0,17/10/2021,13:00:00,ACB,Breogan,Real Madrid,4.35,1.23,68.0,80.0,Diplo,148.0,155.5,Under,7.5,71.0,79.0
33.0,17/10/2021,14:30:00,LNB,Monaco,Dijon,1.23,4.38,80.0,70.0,Assos,150.0,152.5,Under,2.5,93.0,73.0
34.0,17/10/2021,15:00:00,LNB,Strasbourg,Lyon-Villeurbanne,2.87,1.44,77.0,83.0,Diplo,160.0,160.5,Under,0.5,82.0,74.0
35.0,17/10/2021,15:00:00,BBL,Oldenburg,Alba Berlin,1.83,1.97,80.0,81.0,Diplo,161.0,162.5,Under,1.5,74.0,92.0
36.0,17/10/2021,15:00:00,ACB,Baskonia,Tenerife,1.44,2.91,83.0,77.0,Assos,160.0,157.5,Over,2.5,65.0,71.0
